Region,County,First Dose,Series Complete,Report as of
Central New York,Oswego,79866,75142,10/27/2022
Finger Lakes,Orleans,24459,23001,10/27/2022
Mid-Hudson,Orange,266206,241889,10/27/2022
Finger Lakes,Ontario,85709,80479,10/27/2022
Central New York,Onondaga,370776,340369,10/27/2022
Mohawk Valley,Oneida,156919,145639,10/27/2022
Western New York,Niagara,151624,142262,10/27/2022
New York City,New York,1636139,1405109,10/27/2022
Long Island,Nassau,1256035,1143993,10/27/2022
Mohawk Valley,Montgomery,35548,33535,10/27/2022
Finger Lakes,Monroe,588145,547494,10/27/2022
Central New York,Madison,54841,51271,10/27/2022
Finger Lakes,Livingston,40663,38512,10/27/2022
North Country,Lewis,14540,13820,10/27/2022
New York City,Kings,2098867,1891105,10/27/2022
North Country,Jefferson,76022,63827,10/27/2022
Mohawk Valley,Herkimer,37142,34831,10/27/2022
North Country,Hamilton,3557,3296,10/27/2022
Capital Region,Greene,32532,29598,10/27/2022
Finger Lakes,Genesee,38014,35861,10/27/2022
Mohawk Valley,Fulton,30359,28618,10/27/2022
North Country,Franklin,31375,29331,10/27/2022
North Country,Essex,27963,26080,10/27/2022
Western New York,Erie,719270,667358,10/27/2022
Mid-Hudson,Dutchess,232776,209583,10/27/2022
Southern Tier,Delaware,26743,24764,10/27/2022
Central New York,Cortland,29948,28238,10/27/2022
Capital Region,Columbia,46238,42163,10/27/2022
North Country,Clinton,59668,55964,10/27/2022
Southern Tier,Chenango,31498,29648,10/27/2022
Southern Tier,Chemung,49647,46604,10/27/2022
Western New York,Chautauqua,82294,75772,10/27/2022
Central New York,Cayuga,50069,46777,10/27/2022
Western New York,Cattaraugus,44237,41021,10/27/2022
Southern Tier,Broome,136025,126676,10/27/2022
New York City,Bronx,1224657,1088634,10/27/2022
Western New York,Allegany,23702,22117,10/27/2022
Mohawk Valley,Oneida,156897,145630,10/26/2022
Finger Lakes,Yates,14770,13782,10/26/2022
Finger Lakes,Wyoming,23505,22229,10/26/2022
Mid-Hudson,Westchester,886855,796893,10/26/2022
Finger Lakes,Wayne,65891,62037,10/26/2022
Capital Region,Washington,42042,39928,10/26/2022
Capital Region,Warren,52505,49472,10/26/2022
Mid-Hudson,Ulster,148734,136102,10/26/2022
Southern Tier,Tompkins,89190,81206,10/26/2022
Southern Tier,Tioga,25764,24396,10/26/2022
Mid-Hudson,Sullivan,51487,46593,10/26/2022
Long Island,Suffolk,1244602,1130450,10/26/2022
Southern Tier,Steuben,56361,52942,10/26/2022
North Country,St. Lawrence,74817,69541,10/26/2022
Finger Lakes,Seneca,19744,18479,10/26/2022
Southern Tier,Schuyler,11321,10494,10/26/2022
Mohawk Valley,Schoharie,19523,18466,10/26/2022
Capital Region,Schenectady,136890,126431,10/26/2022
Capital Region,Saratoga,189450,176688,10/26/2022
Mid-Hudson,Rockland,234284,210279,10/26/2022
New York City,Richmond,392682,360430,10/26/2022
Capital Region,Rensselaer,119836,110819,10/26/2022
New York City,Queens,2208645,1986032,10/26/2022
Mid-Hudson,Putnam,83721,74972,10/26/2022
Mohawk Valley,Otsego,40703,38017,10/26/2022
Central New York,Oswego,79857,75132,10/26/2022
Finger Lakes,Orleans,24457,22999,10/26/2022
Mid-Hudson,Orange,266169,241856,10/26/2022
Finger Lakes,Ontario,85704,80469,10/26/2022
Central New York,Onondaga,370730,340308,10/26/2022
Western New York,Niagara,151601,142243,10/26/2022
New York City,New York,1635568,1404605,10/26/2022
Long Island,Nassau,1255911,1143875,10/26/2022
Mohawk Valley,Montgomery,35546,33533,10/26/2022
Finger Lakes,Monroe,588048,547364,10/26/2022
Central New York,Madison,54833,51264,10/26/2022
Finger Lakes,Livingston,40659,38509,10/26/2022
North Country,Lewis,14537,13819,10/26/2022
New York City,Kings,2098437,1890713,10/26/2022
North Country,Jefferson,76016,63821,10/26/2022
Mohawk Valley,Herkimer,37140,34825,10/26/2022
North Country,Hamilton,3557,3296,10/26/2022
Capital Region,Greene,32529,29592,10/26/2022
Finger Lakes,Genesee,38010,35856,10/26/2022
Mohawk Valley,Fulton,30358,28616,10/26/2022
North Country,Franklin,31371,29326,10/26/2022
North Country,Essex,27957,26079,10/26/2022
Western New York,Erie,719133,667212,10/26/2022
Mid-Hudson,Dutchess,232747,209560,10/26/2022
Southern Tier,Delaware,26740,24763,10/26/2022
Central New York,Cortland,29945,28236,10/26/2022
Capital Region,Columbia,46230,42159,10/26/2022
North Country,Clinton,59659,55953,10/26/2022
Southern Tier,Chenango,31497,29647,10/26/2022
Southern Tier,Chemung,49641,46598,10/26/2022
Western New York,Chautauqua,82285,75764,10/26/2022
Central New York,Cayuga,50065,46776,10/26/2022
Western New York,Cattaraugus,44235,41018,10/26/2022
Southern Tier,Broome,136013,126665,10/26/2022
New York City,Bronx,1224425,1088459,10/26/2022
Western New York,Allegany,23701,22114,10/26/2022
Capital Region,Albany,254870,232007,10/26/2022
Western New York,Allegany,23700,22113,10/25/2022
Finger Lakes,Yates,14769,13781,10/25/2022
Finger Lakes,Wyoming,23505,22229,10/25/2022
Mid-Hudson,Westchester,886724,796771,10/25/2022
Finger Lakes,Wayne,65887,62029,10/25/2022
Capital Region,Washington,42039,39924,10/25/2022
Capital Region,Warren,52497,49465,10/25/2022
Mid-Hudson,Ulster,148719,136094,10/25/2022
Southern Tier,Tompkins,89177,81199,10/25/2022
Southern Tier,Tioga,25761,24394,10/25/2022
Mid-Hudson,Sullivan,51485,46591,10/25/2022
Long Island,Suffolk,1244516,1130362,10/25/2022
Southern Tier,Steuben,56354,52940,10/25/2022
North Country,St. Lawrence,74808,69536,10/25/2022
Finger Lakes,Seneca,19744,18477,10/25/2022
Southern Tier,Schuyler,11320,10493,10/25/2022
Mohawk Valley,Schoharie,19518,18463,10/25/2022
Capital Region,Schenectady,136873,126415,10/25/2022
Capital Region,Saratoga,189411,176670,10/25/2022
Mid-Hudson,Rockland,234267,210260,10/25/2022
New York City,Richmond,392641,360395,10/25/2022
Capital Region,Rensselaer,119817,110805,10/25/2022
New York City,Queens,2208311,1985789,10/25/2022
Mid-Hudson,Putnam,83711,74966,10/25/2022
Mohawk Valley,Otsego,40700,38015,10/25/2022
Central New York,Oswego,79847,75122,10/25/2022
Finger Lakes,Orleans,24452,22996,10/25/2022
Mid-Hudson,Orange,266146,241835,10/25/2022
Finger Lakes,Ontario,85692,80464,10/25/2022
Central New York,Onondaga,370690,340249,10/25/2022
Capital Region,Albany,254816,231971,10/25/2022
Mohawk Valley,Oneida,156881,145616,10/25/2022
Western New York,Niagara,151588,142231,10/25/2022
New York City,New York,1635029,1404084,10/25/2022
Long Island,Nassau,1255788,1143764,10/25/2022
Mohawk Valley,Montgomery,35546,33532,10/25/2022
Finger Lakes,Monroe,587948,547281,10/25/2022
Central New York,Madison,54829,51256,10/25/2022
Finger Lakes,Livingston,40655,38503,10/25/2022
North Country,Lewis,14536,13817,10/25/2022
New York City,Kings,2098065,1890323,10/25/2022
North Country,Jefferson,76004,63813,10/25/2022
Mohawk Valley,Herkimer,37138,34824,10/25/2022
North Country,Hamilton,3556,3296,10/25/2022
Capital Region,Greene,32527,29589,10/25/2022
Finger Lakes,Genesee,38002,35848,10/25/2022
Mohawk Valley,Fulton,30358,28615,10/25/2022
North Country,Franklin,31369,29323,10/25/2022
North Country,Essex,27955,26075,10/25/2022
Western New York,Erie,719065,667133,10/25/2022
Mid-Hudson,Dutchess,232732,209541,10/25/2022
Southern Tier,Delaware,26739,24760,10/25/2022
Central New York,Cortland,29943,28236,10/25/2022
Capital Region,Columbia,46227,42154,10/25/2022
North Country,Clinton,59655,55946,10/25/2022
Southern Tier,Chenango,31497,29644,10/25/2022
Southern Tier,Chemung,49631,46596,10/25/2022
Western New York,Chautauqua,82279,75760,10/25/2022
Central New York,Cayuga,50061,46771,10/25/2022
Western New York,Cattaraugus,44229,41016,10/25/2022
Southern Tier,Broome,136009,126658,10/25/2022
New York City,Bronx,1224199,1088282,10/25/2022
Mohawk Valley,Schoharie,19517,18462,10/24/2022
Finger Lakes,Yates,14769,13781,10/24/2022
Finger Lakes,Wyoming,23504,22227,10/24/2022
Mid-Hudson,Westchester,886595,796646,10/24/2022
Finger Lakes,Wayne,65878,62022,10/24/2022
Capital Region,Washington,42038,39919,10/24/2022
Capital Region,Warren,52493,49457,10/24/2022
Mid-Hudson,Ulster,148693,136073,10/24/2022
Southern Tier,Tompkins,89160,81181,10/24/2022
Southern Tier,Tioga,25761,24391,10/24/2022
Mid-Hudson,Sullivan,51479,46589,10/24/2022
Long Island,Suffolk,1244363,1130236,10/24/2022
Southern Tier,Steuben,56350,52929,10/24/2022
North Country,St. Lawrence,74796,69531,10/24/2022
Finger Lakes,Seneca,19739,18475,10/24/2022
Southern Tier,Schuyler,11320,10491,10/24/2022
Capital Region,Schenectady,136860,126398,10/24/2022
Capital Region,Saratoga,189383,176647,10/24/2022
Mid-Hudson,Rockland,234233,210222,10/24/2022
New York City,Richmond,392609,360349,10/24/2022
Capital Region,Rensselaer,119805,110786,10/24/2022
New York City,Queens,2207991,1985552,10/24/2022
Mid-Hudson,Putnam,83706,74955,10/24/2022
Mohawk Valley,Otsego,40694,38009,10/24/2022
Central New York,Oswego,79841,75119,10/24/2022
Finger Lakes,Orleans,24446,22993,10/24/2022
Mid-Hudson,Orange,266118,241806,10/24/2022
Finger Lakes,Ontario,85685,80447,10/24/2022
Central New York,Onondaga,370640,340197,10/24/2022
Mohawk Valley,Oneida,156864,145604,10/24/2022
Western New York,Niagara,151577,142221,10/24/2022
New York City,New York,1634454,1403639,10/24/2022
Long Island,Nassau,1255654,1143647,10/24/2022
Mohawk Valley,Montgomery,35542,33531,10/24/2022
Finger Lakes,Monroe,587836,547198,10/24/2022
Central New York,Madison,54823,51249,10/24/2022
Finger Lakes,Livingston,40651,38499,10/24/2022
North Country,Lewis,14532,13813,10/24/2022
New York City,Kings,2097691,1889968,10/24/2022
North Country,Jefferson,75998,63803,10/24/2022
Mohawk Valley,Herkimer,37133,34817,10/24/2022
North Country,Hamilton,3556,3296,10/24/2022
Capital Region,Greene,32525,29587,10/24/2022
Finger Lakes,Genesee,37997,35841,10/24/2022
Mohawk Valley,Fulton,30357,28614,10/24/2022
North Country,Franklin,31367,29320,10/24/2022
North Country,Essex,27954,26072,10/24/2022
Western New York,Erie,718986,667049,10/24/2022
Mid-Hudson,Dutchess,232704,209504,10/24/2022
Southern Tier,Delaware,26735,24757,10/24/2022
Central New York,Cortland,29943,28235,10/24/2022
Capital Region,Columbia,46219,42148,10/24/2022
North Country,Clinton,59649,55942,10/24/2022
Southern Tier,Chenango,31494,29644,10/24/2022
Southern Tier,Chemung,49629,46594,10/24/2022
Western New York,Chautauqua,82272,75754,10/24/2022
Central New York,Cayuga,50058,46769,10/24/2022
Western New York,Cattaraugus,44223,41013,10/24/2022
Southern Tier,Broome,135994,126642,10/24/2022
New York City,Bronx,1223958,1088106,10/24/2022
Western New York,Allegany,23697,22112,10/24/2022
Capital Region,Albany,254785,231923,10/24/2022
Capital Region,Albany,254763,231903,10/23/2022
Finger Lakes,Yates,14769,13781,10/23/2022
Finger Lakes,Wyoming,23503,22227,10/23/2022
Mid-Hudson,Westchester,886470,796530,10/23/2022
Finger Lakes,Wayne,65877,62018,10/23/2022
Capital Region,Washington,42038,39918,10/23/2022
Capital Region,Warren,52483,49453,10/23/2022
Mid-Hudson,Ulster,148677,136068,10/23/2022
Southern Tier,Tompkins,89154,81172,10/23/2022
Southern Tier,Tioga,25760,24390,10/23/2022
Mid-Hudson,Sullivan,51470,46581,10/23/2022
Long Island,Suffolk,1244285,1130155,10/23/2022
Southern Tier,Steuben,56347,52926,10/23/2022
North Country,St. Lawrence,74793,69528,10/23/2022
Finger Lakes,Seneca,19734,18473,10/23/2022
Southern Tier,Schuyler,11319,10491,10/23/2022
Mohawk Valley,Schoharie,19517,18462,10/23/2022
Capital Region,Schenectady,136844,126388,10/23/2022
Capital Region,Saratoga,189372,176633,10/23/2022
Mid-Hudson,Rockland,234221,210208,10/23/2022
New York City,Richmond,392581,360315,10/23/2022
Capital Region,Rensselaer,119799,110779,10/23/2022
New York City,Queens,2207708,1985350,10/23/2022
Mid-Hudson,Putnam,83699,74946,10/23/2022
Mohawk Valley,Otsego,40694,38009,10/23/2022
Central New York,Oswego,79838,75116,10/23/2022
Finger Lakes,Orleans,24445,22993,10/23/2022
Mid-Hudson,Orange,266097,241786,10/23/2022
Finger Lakes,Ontario,85675,80437,10/23/2022
Central New York,Onondaga,370592,340166,10/23/2022
Mohawk Valley,Oneida,156847,145598,10/23/2022
Western New York,Niagara,151564,142208,10/23/2022
New York City,New York,1634051,1403290,10/23/2022
Long Island,Nassau,1255559,1143540,10/23/2022
Mohawk Valley,Montgomery,35538,33527,10/23/2022
Finger Lakes,Monroe,587748,547117,10/23/2022
Central New York,Madison,54819,51248,10/23/2022
Finger Lakes,Livingston,40649,38497,10/23/2022
North Country,Lewis,14532,13812,10/23/2022
New York City,Kings,2097388,1889664,10/23/2022
North Country,Jefferson,75992,63790,10/23/2022
Mohawk Valley,Herkimer,37131,34814,10/23/2022
North Country,Hamilton,3556,3296,10/23/2022
Capital Region,Greene,32522,29584,10/23/2022
Finger Lakes,Genesee,37987,35834,10/23/2022
Mohawk Valley,Fulton,30355,28611,10/23/2022
North Country,Franklin,31363,29314,10/23/2022
North Country,Essex,27946,26062,10/23/2022
Western New York,Erie,718890,666954,10/23/2022
Mid-Hudson,Dutchess,232662,209462,10/23/2022
Southern Tier,Delaware,26735,24757,10/23/2022
Central New York,Cortland,29943,28232,10/23/2022
Capital Region,Columbia,46213,42143,10/23/2022
North Country,Clinton,59645,55933,10/23/2022
Southern Tier,Chenango,31493,29643,10/23/2022
Southern Tier,Chemung,49624,46593,10/23/2022
Western New York,Chautauqua,82268,75749,10/23/2022
Central New York,Cayuga,50057,46765,10/23/2022
Western New York,Cattaraugus,44222,41012,10/23/2022
Southern Tier,Broome,135987,126633,10/23/2022
New York City,Bronx,1223780,1087957,10/23/2022
Western New York,Allegany,23696,22111,10/23/2022
Southern Tier,Chenango,31493,29643,10/22/2022
Finger Lakes,Yates,14769,13779,10/22/2022
Finger Lakes,Wyoming,23502,22227,10/22/2022
Mid-Hudson,Westchester,886430,796503,10/22/2022
Finger Lakes,Wayne,65874,62018,10/22/2022
Capital Region,Washington,42037,39915,10/22/2022
Capital Region,Warren,52483,49452,10/22/2022
Mid-Hudson,Ulster,148670,136062,10/22/2022
Southern Tier,Tompkins,89151,81167,10/22/2022
Southern Tier,Tioga,25759,24390,10/22/2022
Mid-Hudson,Sullivan,51470,46577,10/22/2022
Long Island,Suffolk,1244244,1130117,10/22/2022
Southern Tier,Steuben,56347,52925,10/22/2022
North Country,St. Lawrence,74793,69527,10/22/2022
Finger Lakes,Seneca,19734,18473,10/22/2022
Southern Tier,Schuyler,11319,10491,10/22/2022
Mohawk Valley,Schoharie,19517,18462,10/22/2022
Capital Region,Schenectady,136838,126380,10/22/2022
Capital Region,Saratoga,189273,176629,10/22/2022
Mid-Hudson,Rockland,234217,210204,10/22/2022
New York City,Richmond,392570,360296,10/22/2022
Capital Region,Rensselaer,119789,110772,10/22/2022
New York City,Queens,2207574,1985263,10/22/2022
Mid-Hudson,Putnam,83698,74942,10/22/2022
Mohawk Valley,Otsego,40692,38008,10/22/2022
Central New York,Oswego,79837,75116,10/22/2022
Finger Lakes,Orleans,24445,22993,10/22/2022
Mid-Hudson,Orange,266083,241776,10/22/2022
Finger Lakes,Ontario,85673,80436,10/22/2022
Central New York,Onondaga,370574,340151,10/22/2022
Mohawk Valley,Oneida,156845,145594,10/22/2022
Western New York,Niagara,151559,142201,10/22/2022
New York City,New York,1633882,1403148,10/22/2022
Long Island,Nassau,1255509,1143487,10/22/2022
Mohawk Valley,Montgomery,35537,33523,10/22/2022
Finger Lakes,Monroe,587728,547098,10/22/2022
Central New York,Madison,54816,51247,10/22/2022
Finger Lakes,Livingston,40649,38497,10/22/2022
North Country,Lewis,14532,13812,10/22/2022
New York City,Kings,2097217,1889537,10/22/2022
North Country,Jefferson,75989,63786,10/22/2022
Mohawk Valley,Herkimer,37131,34813,10/22/2022
North Country,Hamilton,3556,3296,10/22/2022
Capital Region,Greene,32521,29583,10/22/2022
Finger Lakes,Genesee,37987,35830,10/22/2022
Mohawk Valley,Fulton,30355,28609,10/22/2022
North Country,Franklin,31363,29314,10/22/2022
North Country,Essex,27944,26062,10/22/2022
Western New York,Erie,718847,666917,10/22/2022
Mid-Hudson,Dutchess,232647,209452,10/22/2022
Southern Tier,Delaware,26735,24756,10/22/2022
Central New York,Cortland,29943,28232,10/22/2022
Capital Region,Columbia,46210,42142,10/22/2022
North Country,Clinton,59644,55933,10/22/2022
Southern Tier,Chemung,49620,46590,10/22/2022
Western New York,Chautauqua,82265,75744,10/22/2022
Central New York,Cayuga,50056,46764,10/22/2022
Western New York,Cattaraugus,44222,41012,10/22/2022
Southern Tier,Broome,135973,126624,10/22/2022
New York City,Bronx,1223746,1087934,10/22/2022
Western New York,Allegany,23695,22110,10/22/2022
Capital Region,Albany,254748,231889,10/22/2022
Western New York,Cattaraugus,44221,41011,10/21/2022
Finger Lakes,Yates,14767,13778,10/21/2022
Finger Lakes,Wyoming,23502,22227,10/21/2022
Mid-Hudson,Westchester,886367,796428,10/21/2022
Finger Lakes,Wayne,65872,62013,10/21/2022
Capital Region,Washington,42036,39912,10/21/2022
Capital Region,Warren,52480,49450,10/21/2022
Mid-Hudson,Ulster,148666,136056,10/21/2022
Southern Tier,Tompkins,89145,81156,10/21/2022
Southern Tier,Tioga,25758,24390,10/21/2022
Mid-Hudson,Sullivan,51469,46574,10/21/2022
Long Island,Suffolk,1244194,1130064,10/21/2022
Southern Tier,Steuben,56346,52925,10/21/2022
North Country,St. Lawrence,74786,69524,10/21/2022
Finger Lakes,Seneca,19733,18473,10/21/2022
Southern Tier,Schuyler,11317,10490,10/21/2022
New York City,Bronx,1223668,1087876,10/21/2022
Mohawk Valley,Schoharie,19515,18461,10/21/2022
Capital Region,Schenectady,136829,126373,10/21/2022
Capital Region,Saratoga,189259,176614,10/21/2022
Mid-Hudson,Rockland,234203,210180,10/21/2022
New York City,Richmond,392535,360256,10/21/2022
Capital Region,Rensselaer,119783,110764,10/21/2022
New York City,Queens,2207369,1985113,10/21/2022
Mid-Hudson,Putnam,83689,74932,10/21/2022
Mohawk Valley,Otsego,40685,38000,10/21/2022
Central New York,Oswego,79837,75115,10/21/2022
Finger Lakes,Orleans,24444,22993,10/21/2022
Mid-Hudson,Orange,266074,241724,10/21/2022
Finger Lakes,Ontario,85668,80434,10/21/2022
Central New York,Onondaga,370553,340134,10/21/2022
Mohawk Valley,Oneida,156839,145588,10/21/2022
Western New York,Allegany,23693,22110,10/21/2022
Capital Region,Albany,254728,231867,10/21/2022
Western New York,Niagara,151555,142197,10/21/2022
New York City,New York,1633465,1402851,10/21/2022
Long Island,Nassau,1255440,1143414,10/21/2022
Mohawk Valley,Montgomery,35537,33523,10/21/2022
Finger Lakes,Monroe,587707,547050,10/21/2022
Central New York,Madison,54815,51244,10/21/2022
Finger Lakes,Livingston,40648,38494,10/21/2022
North Country,Lewis,14532,13812,10/21/2022
New York City,Kings,2096973,1889279,10/21/2022
North Country,Jefferson,75983,63783,10/21/2022
Mohawk Valley,Herkimer,37129,34813,10/21/2022
North Country,Hamilton,3555,3296,10/21/2022
Capital Region,Greene,32521,29582,10/21/2022
Finger Lakes,Genesee,37986,35829,10/21/2022
Mohawk Valley,Fulton,30353,28607,10/21/2022
North Country,Franklin,31363,29314,10/21/2022
North Country,Essex,27942,26061,10/21/2022
Western New York,Erie,718810,666886,10/21/2022
Mid-Hudson,Dutchess,232635,209435,10/21/2022
Southern Tier,Delaware,26735,24753,10/21/2022
Southern Tier,Broome,135964,126619,10/21/2022
Central New York,Cortland,29934,28232,10/21/2022
Capital Region,Columbia,46209,42139,10/21/2022
North Country,Clinton,59643,55932,10/21/2022
Southern Tier,Chenango,31492,29643,10/21/2022
Southern Tier,Chemung,49619,46589,10/21/2022
Western New York,Chautauqua,82260,75739,10/21/2022
Central New York,Cayuga,50056,46762,10/21/2022
Western New York,Niagara,151542,142188,10/20/2022
Finger Lakes,Yates,14765,13777,10/20/2022
Finger Lakes,Wyoming,23502,22226,10/20/2022
Mid-Hudson,Westchester,886215,796259,10/20/2022
Finger Lakes,Wayne,65867,62008,10/20/2022
Capital Region,Washington,42035,39909,10/20/2022
Capital Region,Warren,52470,49447,10/20/2022
Mid-Hudson,Ulster,148644,136048,10/20/2022
Southern Tier,Tompkins,89122,81131,10/20/2022
Southern Tier,Tioga,25757,24387,10/20/2022
Mid-Hudson,Sullivan,51465,46573,10/20/2022
Long Island,Suffolk,1244100,1129977,10/20/2022
Southern Tier,Steuben,56331,52915,10/20/2022
North Country,St. Lawrence,74784,69514,10/20/2022
Finger Lakes,Seneca,19731,18472,10/20/2022
Southern Tier,Schuyler,11316,10488,10/20/2022
Mohawk Valley,Schoharie,19513,18460,10/20/2022
Capital Region,Schenectady,136813,126352,10/20/2022
Capital Region,Saratoga,189242,176590,10/20/2022
Mid-Hudson,Rockland,234183,210165,10/20/2022
New York City,Richmond,392502,360209,10/20/2022
Capital Region,Rensselaer,119768,110747,10/20/2022
New York City,Queens,2207067,1984822,10/20/2022
Mid-Hudson,Putnam,83685,74923,10/20/2022
Mohawk Valley,Otsego,40676,37995,10/20/2022
Central New York,Oswego,79829,75105,10/20/2022
Finger Lakes,Orleans,24438,22990,10/20/2022
Mid-Hudson,Orange,266052,241702,10/20/2022
Finger Lakes,Ontario,85662,80424,10/20/2022
Central New York,Onondaga,370500,340076,10/20/2022
Mohawk Valley,Oneida,156814,145559,10/20/2022
New York City,New York,1632878,1402297,10/20/2022
Long Island,Nassau,1255319,1143302,10/20/2022
Mohawk Valley,Montgomery,35534,33519,10/20/2022
Finger Lakes,Monroe,587644,546951,10/20/2022
Central New York,Madison,54809,51240,10/20/2022
Finger Lakes,Livingston,40645,38493,10/20/2022
North Country,Lewis,14532,13811,10/20/2022
New York City,Kings,2096529,1888751,10/20/2022
North Country,Jefferson,75975,63765,10/20/2022
Mohawk Valley,Herkimer,37127,34812,10/20/2022
North Country,Hamilton,3555,3296,10/20/2022
Capital Region,Greene,32513,29579,10/20/2022
Finger Lakes,Genesee,37974,35815,10/20/2022
Mohawk Valley,Fulton,30353,28601,10/20/2022
North Country,Franklin,31359,29303,10/20/2022
North Country,Essex,27940,26059,10/20/2022
Western New York,Erie,718716,666784,10/20/2022
Mid-Hudson,Dutchess,232600,209395,10/20/2022
Southern Tier,Delaware,26731,24751,10/20/2022
Central New York,Cortland,29927,28221,10/20/2022
Capital Region,Columbia,46201,42135,10/20/2022
North Country,Clinton,59635,55924,10/20/2022
Southern Tier,Chenango,31487,29641,10/20/2022
Southern Tier,Chemung,49615,46582,10/20/2022
Western New York,Chautauqua,82254,75729,10/20/2022
Central New York,Cayuga,50049,46758,10/20/2022
Western New York,Cattaraugus,44217,41007,10/20/2022
Southern Tier,Broome,135945,126608,10/20/2022
New York City,Bronx,1223435,1087716,10/20/2022
Western New York,Allegany,23692,22108,10/20/2022
Capital Region,Albany,254672,231814,10/20/2022
Mohawk Valley,Oneida,156796,145538,10/19/2022
Finger Lakes,Yates,14764,13774,10/19/2022
Finger Lakes,Wyoming,23502,22223,10/19/2022
Mid-Hudson,Westchester,886041,796103,10/19/2022
Finger Lakes,Wayne,65854,61999,10/19/2022
Capital Region,Washington,42034,39906,10/19/2022
Capital Region,Warren,52464,49440,10/19/2022
Mid-Hudson,Ulster,148625,136026,10/19/2022
Southern Tier,Tompkins,89105,81111,10/19/2022
Southern Tier,Tioga,25752,24385,10/19/2022
Mid-Hudson,Sullivan,51463,46569,10/19/2022
Long Island,Suffolk,1243979,1129860,10/19/2022
Southern Tier,Steuben,56325,52908,10/19/2022
North Country,St. Lawrence,74769,69499,10/19/2022
Finger Lakes,Seneca,19729,18470,10/19/2022
Southern Tier,Schuyler,11315,10486,10/19/2022
Mohawk Valley,Schoharie,19511,18455,10/19/2022
Capital Region,Schenectady,136798,126332,10/19/2022
Capital Region,Saratoga,189187,176544,10/19/2022
Mid-Hudson,Rockland,234162,210151,10/19/2022
New York City,Richmond,392459,360175,10/19/2022
Capital Region,Rensselaer,119756,110729,10/19/2022
New York City,Queens,2206722,1984563,10/19/2022
Mid-Hudson,Putnam,83673,74909,10/19/2022
Mohawk Valley,Otsego,40670,37982,10/19/2022
Central New York,Oswego,79823,75092,10/19/2022
Finger Lakes,Orleans,24433,22986,10/19/2022
Mid-Hudson,Orange,266008,241673,10/19/2022
Finger Lakes,Ontario,85650,80403,10/19/2022
Central New York,Onondaga,370452,340017,10/19/2022
Western New York,Niagara,151519,142164,10/19/2022
New York City,New York,1632274,1401833,10/19/2022
Long Island,Nassau,1255199,1143148,10/19/2022
Mohawk Valley,Montgomery,35532,33515,10/19/2022
Finger Lakes,Monroe,587585,546872,10/19/2022
Central New York,Madison,54805,51237,10/19/2022
Finger Lakes,Livingston,40638,38486,10/19/2022
North Country,Lewis,14530,13810,10/19/2022
New York City,Kings,2096116,1888347,10/19/2022
North Country,Jefferson,75963,63752,10/19/2022
Mohawk Valley,Herkimer,37122,34806,10/19/2022
North Country,Hamilton,3555,3296,10/19/2022
Capital Region,Greene,32512,29572,10/19/2022
Finger Lakes,Genesee,37972,35812,10/19/2022
Mohawk Valley,Fulton,30352,28599,10/19/2022
North Country,Franklin,31359,29300,10/19/2022
North Country,Essex,27936,26055,10/19/2022
Western New York,Erie,718575,666643,10/19/2022
Mid-Hudson,Dutchess,232550,209357,10/19/2022
Southern Tier,Delaware,26723,24749,10/19/2022
Central New York,Cortland,29923,28210,10/19/2022
Capital Region,Columbia,46193,42123,10/19/2022
North Country,Clinton,59630,55911,10/19/2022
Southern Tier,Chenango,31484,29639,10/19/2022
Southern Tier,Chemung,49609,46574,10/19/2022
Western New York,Chautauqua,82242,75710,10/19/2022
Central New York,Cayuga,50044,46755,10/19/2022
Western New York,Cattaraugus,44207,40994,10/19/2022
Southern Tier,Broome,135924,126587,10/19/2022
New York City,Bronx,1223195,1087534,10/19/2022
Western New York,Allegany,23690,22106,10/19/2022
Capital Region,Albany,254633,231759,10/19/2022
Western New York,Allegany,23689,22103,10/18/2022
Finger Lakes,Yates,14760,13771,10/18/2022
Finger Lakes,Wyoming,23499,22217,10/18/2022
Mid-Hudson,Westchester,885909,795979,10/18/2022
Finger Lakes,Wayne,65836,61991,10/18/2022
Capital Region,Washington,42031,39899,10/18/2022
Capital Region,Warren,52459,49435,10/18/2022
Mid-Hudson,Ulster,148606,136004,10/18/2022
Southern Tier,Tompkins,89078,81091,10/18/2022
Southern Tier,Tioga,25750,24382,10/18/2022
Mid-Hudson,Sullivan,51459,46561,10/18/2022
Long Island,Suffolk,1243841,1129712,10/18/2022
Southern Tier,Steuben,56318,52903,10/18/2022
North Country,St. Lawrence,74755,69493,10/18/2022
Finger Lakes,Seneca,19727,18465,10/18/2022
Southern Tier,Schuyler,11313,10481,10/18/2022
Mohawk Valley,Schoharie,19511,18451,10/18/2022
Capital Region,Schenectady,136783,126319,10/18/2022
Capital Region,Saratoga,189103,176514,10/18/2022
Mid-Hudson,Rockland,234142,210128,10/18/2022
New York City,Richmond,392423,360130,10/18/2022
Capital Region,Rensselaer,119743,110713,10/18/2022
New York City,Queens,2206386,1984278,10/18/2022
Mid-Hudson,Putnam,83663,74901,10/18/2022
Mohawk Valley,Otsego,40667,37978,10/18/2022
Central New York,Oswego,79810,75071,10/18/2022
Finger Lakes,Orleans,24429,22984,10/18/2022
Mid-Hudson,Orange,265970,241639,10/18/2022
Finger Lakes,Ontario,85641,80390,10/18/2022
