Region,County,First Dose,Series Complete,Report as of
Western New York,Erie,724533,672385,03/23/2023
Mid-Hudson,Dutchess,234608,211042,03/23/2023
Southern Tier,Delaware,26896,24902,03/23/2023
Central New York,Cortland,30142,28434,03/23/2023
Capital Region,Columbia,46532,42396,03/23/2023
North Country,Clinton,60151,56301,03/23/2023
Southern Tier,Chenango,31639,29771,03/23/2023
Southern Tier,Chemung,50036,46928,03/23/2023
Western New York,Chautauqua,82794,76227,03/23/2023
Central New York,Cayuga,50339,47039,03/23/2023
Western New York,Cattaraugus,44466,41214,03/23/2023
Southern Tier,Broome,136936,127474,03/23/2023
New York City,Bronx,1239276,1099720,03/23/2023
Western New York,Niagara,152346,142958,03/22/2023
Finger Lakes,Yates,14853,13866,03/22/2023
Finger Lakes,Wyoming,23577,22298,03/22/2023
Mid-Hudson,Westchester,895659,804498,03/22/2023
Finger Lakes,Wayne,66250,62400,03/22/2023
Capital Region,Washington,42221,40100,03/22/2023
Capital Region,Warren,52757,49715,03/22/2023
Mid-Hudson,Ulster,149745,136944,03/22/2023
Southern Tier,Tompkins,90477,82177,03/22/2023
Southern Tier,Tioga,25891,24501,03/22/2023
Mid-Hudson,Sullivan,51790,46823,03/22/2023
Long Island,Suffolk,1253266,1137438,03/22/2023
Southern Tier,Steuben,56666,53218,03/22/2023
North Country,St. Lawrence,75290,69899,03/22/2023
Finger Lakes,Seneca,19832,18567,03/22/2023
Southern Tier,Schuyler,11387,10544,03/22/2023
Mohawk Valley,Schoharie,19617,18552,03/22/2023
Capital Region,Schenectady,137831,127279,03/22/2023
Capital Region,Saratoga,190698,177827,03/22/2023
Mid-Hudson,Rockland,235814,211640,03/22/2023
New York City,Richmond,395829,362993,03/22/2023
Capital Region,Rensselaer,120747,111539,03/22/2023
New York City,Queens,2234731,2004887,03/22/2023
Mid-Hudson,Putnam,84280,75493,03/22/2023
Mohawk Valley,Otsego,40964,38261,03/22/2023
Central New York,Oswego,80281,75504,03/22/2023
Finger Lakes,Orleans,24597,23144,03/22/2023
Mid-Hudson,Orange,268109,243598,03/22/2023
Finger Lakes,Ontario,86212,80965,03/22/2023
Central New York,Onondaga,373896,343256,03/22/2023
Mohawk Valley,Oneida,158024,146652,03/22/2023
New York City,New York,1673945,1429715,03/22/2023
Long Island,Nassau,1264576,1151478,03/22/2023
Mohawk Valley,Montgomery,35710,33687,03/22/2023
Finger Lakes,Monroe,593425,552385,03/22/2023
Central New York,Madison,55089,51500,03/22/2023
Finger Lakes,Livingston,40847,38659,03/22/2023
North Country,Lewis,14603,13879,03/22/2023
New York City,Kings,2126966,1914520,03/22/2023
North Country,Jefferson,76602,64329,03/22/2023
Mohawk Valley,Herkimer,37339,34988,03/22/2023
North Country,Hamilton,3569,3305,03/22/2023
Capital Region,Greene,32706,29744,03/22/2023
Finger Lakes,Genesee,38185,36042,03/22/2023
Mohawk Valley,Fulton,30517,28748,03/22/2023
North Country,Franklin,31533,29469,03/22/2023
North Country,Essex,28105,26214,03/22/2023
Western New York,Erie,724523,672377,03/22/2023
Mid-Hudson,Dutchess,234600,211040,03/22/2023
Southern Tier,Delaware,26896,24902,03/22/2023
Central New York,Cortland,30141,28434,03/22/2023
Capital Region,Columbia,46532,42396,03/22/2023
North Country,Clinton,60151,56301,03/22/2023
Southern Tier,Chenango,31639,29771,03/22/2023
Southern Tier,Chemung,50036,46928,03/22/2023
Western New York,Chautauqua,82794,76224,03/22/2023
Central New York,Cayuga,50339,47039,03/22/2023
Western New York,Cattaraugus,44465,41214,03/22/2023
Southern Tier,Broome,136931,127473,03/22/2023
New York City,Bronx,1239255,1099700,03/22/2023
Western New York,Allegany,23829,22221,03/22/2023
Capital Region,Albany,257461,234261,03/22/2023
